Latitude,Longitude,Filename,Path
26.35,74.6544,ajmer_tile_26.350000_74.654400.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.654400.jpg
26.35,74.6556,ajmer_tile_26.350000_74.655600.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.655600.jpg
26.35,74.6568,ajmer_tile_26.350000_74.656800.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.656800.jpg
26.35,74.658,ajmer_tile_26.350000_74.658000.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.658000.jpg
26.35,74.6592,ajmer_tile_26.350000_74.659200.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.659200.jpg
26.35,74.6604,ajmer_tile_26.350000_74.660400.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.660400.jpg
26.35,74.6616,ajmer_tile_26.350000_74.661600.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.661600.jpg
26.35,74.6628,ajmer_tile_26.350000_74.662800.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.662800.jpg
26.35,74.664,ajmer_tile_26.350000_74.664000.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.664000.jpg
26.35,74.6652,ajmer_tile_26.350000_74.665200.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.665200.jpg
26.35,74.6664,ajmer_tile_26.350000_74.666400.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.666400.jpg
26.35,74.6676,ajmer_tile_26.350000_74.667600.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.667600.jpg
26.35,74.6688,ajmer_tile_26.350000_74.668800.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.668800.jpg
26.35,74.67,ajmer_tile_26.350000_74.670000.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.670000.jpg
26.35,74.6712,ajmer_tile_26.350000_74.671200.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.671200.jpg
26.35,74.6724,ajmer_tile_26.350000_74.672400.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.672400.jpg
